ID,City,Locality,BHK,Area_SqFt,Price,Price_Per_SqFt,Year
36,Mumbai,Bandra West,4,2048,90951680,44410,2023
37,Mumbai,Bandra West,1,653,30328585,46445,2023
38,Mumbai,Bandra West,4,2992,133942864,44767,2023
39,Mumbai,Bandra West,2,1196,50725948,42413,2023
40,Mumbai,Bandra West,2,828,36100800,43600,2023
41,Mumbai,Bandra West,3,1521,65424294,43014,2023
42,Mumbai,Bandra West,3,1425,61131075,42899,2023
43,Mumbai,Bandra West,3,1392,62552304,44937,2023
44,Mumbai,Bandra West,1,652,25708360,39430,2023
45,Mumbai,Bandra West,3,1533,65206155,42535,2023
46,Mumbai,Bandra West,2,1530,61255080,40036,2023
47,Mumbai,Bandra West,2,1090,44276890,40621,2023
48,Mumbai,Bandra West,3,2187,87799302,40146,2023
49,Mumbai,Bandra West,4,1684,70045980,41595,2023
50,Mumbai,Bandra West,1,432,16187040,37470,2023
51,Mumbai,Bandra West,4,2132,100973652,47361,2023
52,Mumbai,Bandra West,4,2792,122387320,43835,2023
53,Mumbai,Bandra West,2,1342,48289186,35983,2023
54,Mumbai,Bandra West,3,1512,67634784,44732,2023
55,Mumbai,Bandra West,2,1416,54377232,38402,2023
56,Mumbai,Bandra West,4,3020,113524820,37591,2023
57,Mumbai,Bandra West,1,705,30066135,42647,2023
58,Mumbai,Bandra West,1,451,18720559,41509,2023
59,Mumbai,Bandra West,2,990,39631680,40032,2023
60,Mumbai,Bandra West,1,480,20217600,42120,2023
61,Mumbai,Bandra West,1,641,24997077,38997,2023
62,Mumbai,Bandra West,1,411,17222133,41903,2023
63,Mumbai,Bandra West,3,2028,80166840,39530,2023
64,Mumbai,Bandra West,4,3088,126685200,41025,2023
65,Mumbai,Bandra West,2,1436,51978892,36197,2023
66,Mumbai,Bandra West,3,2085,92434305,44333,2023
67,Mumbai,Bandra West,4,2828,118651568,41956,2023
68,Mumbai,Bandra West,3,1941,80726190,41590,2023
69,Mumbai,Bandra West,2,1530,69778710,45607,2023
70,Mumbai,Bandra West,2,1318,55316460,41970,2023
71,Mumbai,Bandra West,1,514,20326130,39545,2023
72,Mumbai,Bandra West,1,508,24450548,48131,2023
73,Mumbai,Bandra West,3,1671,65770560,39360,2023
74,Mumbai,Bandra West,4,2152,100494096,46698,2023
75,Mumbai,Bandra West,4,2920,137225400,46995,2023
76,Mumbai,Bandra West,2,1398,63712452,45574,2023
77,Mumbai,Bandra West,3,1281,61304817,47857,2023
78,Mumbai,Bandra West,1,553,19871502,35934,2023
79,Mumbai,Bandra West,1,707,28571284,40412,2023
80,Mumbai,Bandra West,2,1188,47112516,39657,2023
81,Mumbai,Bandra West,2,944,43861072,46463,2023
82,Mumbai,Bandra West,1,601,25990846,43246,2023
83,Mumbai,Bandra West,1,711,33209388,46708,2023
84,Mumbai,Bandra West,2,1554,61387662,39503,2023
85,Mumbai,Bandra West,4,2860,132111980,46193,2023
86,Mumbai,Worli,4,3068,122496036,39927,2023
87,Mumbai,Worli,3,1305,53798625,41225,2023
88,Mumbai,Worli,1,523,21594147,41289,2023
89,Mumbai,Worli,2,930,38389470,41279,2023
90,Mumbai,Worli,2,1566,63723672,40692,2023
91,Mumbai,Worli,2,1150,38598600,33564,2023
92,Mumbai,Worli,2,1286,45413804,35314,2023
93,Mumbai,Worli,2,1418,59286580,41810,2023
94,Mumbai,Worli,3,1239,52604223,42457,2023
95,Mumbai,Worli,3,2226,83141100,37350,2023
96,Mumbai,Worli,3,1401,49683663,35463,2023
97,Mumbai,Worli,4,2656,113634304,42784,2023
98,Mumbai,Worli,2,830,29763800,35860,2023
99,Mumbai,Worli,4,1692,68248512,40336,2023
100,Mumbai,Worli,2,946,39188996,41426,2023
101,Mumbai,Worli,2,826,28224420,34170,2023
102,Mumbai,Worli,1,799,33380622,41778,2023
103,Mumbai,Worli,3,1434,53308950,37175,2023
104,Mumbai,Worli,1,449,17700029,39421,2023
105,Mumbai,Worli,2,1518,58411122,38479,2023
106,Mumbai,Worli,1,554,20727356,37414,2023
107,Mumbai,Worli,4,2300,82583800,35906,2023
108,Mumbai,Worli,4,3084,111582204,36181,2023
109,Mumbai,Worli,3,1983,68381772,34484,2023
110,Mumbai,Worli,1,622,24926028,40074,2023
111,Mumbai,Worli,4,2424,86083512,35513,2023
112,Mumbai,Worli,3,1875,78613125,41927,2023
113,Mumbai,Worli,2,1536,58854912,38317,2023
114,Mumbai,Worli,3,1323,43434090,32830,2023
115,Mumbai,Worli,2,1508,53025804,35163,2023
116,Mumbai,Worli,2,1392,60521376,43478,2023
117,Mumbai,Worli,4,2040,78444120,38453,2023
118,Mumbai,Worli,3,1488,53719776,36102,2023
119,Mumbai,Worli,3,2307,100645182,43626,2023
120,Mumbai,Worli,1,668,24800168,37126,2023
121,Mumbai,Worli,1,769,29142024,37896,2023
122,Mumbai,Worli,1,558,18869886,33817,2023
123,Mumbai,Worli,2,1518,51646914,34023,2023
124,Mumbai,Worli,1,554,22004880,39720,2023
125,Mumbai,Worli,1,800,30583200,38229,2023
126,Mumbai,Worli,1,648,22862088,35281,2023
127,Mumbai,Worli,1,522,23064570,44185,2023
128,Mumbai,Worli,4,2788,98151540,35205,2023
129,Mumbai,Worli,4,3108,102896556,33107,2023
130,Mumbai,Worli,4,2052,87860484,42817,2023
131,Mumbai,Worli,2,1398,50905374,36413,2023
132,Mumbai,Worli,1,637,25329668,39764,2023
133,Mumbai,Worli,3,1524,58798968,38582,2023
134,Mumbai,Worli,1,684,28959192,42338,2023
135,Mumbai,Worli,3,2112,74910528,35469,2023
136,Mumbai,Worli,3,1641,70681152,43072,2023
137,Mumbai,Worli,4,1728,63358848,36666,2023
138,Mumbai,Worli,3,1254,45848748,36562,2023
139,Mumbai,Worli,3,1563,67691967,43309,2023
140,Mumbai,Worli,3,2157,86821407,40251,2023
141,Mumbai,Juhu,2,800,33077600,41347,2023
142,Mumbai,Juhu,3,2223,79763463,35881,2023
143,Mumbai,Juhu,1,772,31743868,41119,2023
144,Mumbai,Juhu,3,2223,70184556,31572,2023
145,Mumbai,Juhu,1,766,23588970,30795,2023
146,Mumbai,Juhu,4,2580,89159640,34558,2023
147,Mumbai,Juhu,4,2084,74928136,35954,2023
148,Mumbai,Juhu,2,1100,41422700,37657,2023
149,Mumbai,Juhu,1,717,28961064,40392,2023
150,Mumbai,Juhu,3,1509,49710987,32943,2023
151,Mumbai,Juhu,3,1266,51755346,40881,2023
152,Mumbai,Juhu,1,411,14848197,36127,2023
153,Mumbai,Juhu,3,1887,65352471,34633,2023
154,Mumbai,Juhu,4,2012,77166236,38353,2023
155,Mumbai,Juhu,4,2644,89536416,33864,2023
156,Mumbai,Juhu,4,2188,86233456,39412,2023
157,Mumbai,Juhu,1,579,19294596,33324,2023
158,Mumbai,Juhu,2,940,37115900,39485,2023
159,Mumbai,Juhu,1,757,29071828,38404,2023
160,Mumbai,Juhu,1,427,15794730,36990,2023
161,Mumbai,Juhu,1,763,24961545,32715,2023
162,Mumbai,Juhu,1,607,19138710,31530,2023
163,Mumbai,Juhu,1,510,16006350,31385,2023
164,Mumbai,Juhu,1,676,24786892,36667,2023
165,Mumbai,Juhu,3,1740,53470200,30730,2023
166,Mumbai,Juhu,1,630,21932190,34813,2023
167,Mumbai,Juhu,3,2289,74159022,32398,2023
168,Mumbai,Juhu,1,798,31120404,38998,2023
169,Mumbai,Juhu,3,2004,64647036,32259,2023
170,Mumbai,Juhu,4,3196,111760924,34969,2023
171,Mumbai,Juhu,1,412,13228908,32109,2023
172,Mumbai,Juhu,1,455,18094895,39769,2023
173,Mumbai,Juhu,1,571,19855383,34773,2023
174,Mumbai,Juhu,1,499,18839745,37755,2023
175,Mumbai,Juhu,1,609,24702258,40562,2023
176,Mumbai,Juhu,4,1820,66979640,36802,2023
177,Mumbai,Juhu,1,536,19185048,35793,2023
178,Mumbai,Juhu,1,662,25168578,38019,2023
179,Mumbai,Juhu,1,604,23605528,39082,2023
180,Mumbai,Juhu,1,566,22360396,39506,2023
181,Mumbai,Juhu,2,894,29274030,32745,2023
182,Mumbai,Juhu,2,1120,38961440,34787,2023
183,Mumbai,Juhu,2,1418,56443490,39805,2023
184,Mumbai,Juhu,2,1340,51162540,38181,2023
185,Mumbai,Juhu,2,1400,49606200,35433,2023
186,Mumbai,Juhu,2,1104,40017792,36248,2023
187,Mumbai,Juhu,3,1521,53622855,35255,2023
188,Mumbai,Juhu,4,2532,82107696,32428,2023
189,Mumbai,Juhu,1,488,19423376,39802,2023
190,Mumbai,Juhu,2,1124,41880240,37260,2023
191,Mumbai,Juhu,2,1296,43909776,33881,2023
192,Mumbai,Juhu,1,770,24857910,32283,2023
193,Mumbai,Juhu,2,1558,53966004,34638,2023
194,Mumbai,Juhu,1,400,15616400,39041,2023
195,Mumbai,Juhu,2,1314,45568206,34679,2023
196,Mumbai,Juhu,2,1412,55409704,39242,2023
197,Mumbai,Juhu,3,1377,44830989,32557,2023
198,Mumbai,Juhu,1,536,20857904,38914,2023
199,Mumbai,Juhu,4,3020,106436880,35244,2023
200,Mumbai,Juhu,2,1218,40201308,33006,2023
201,Mumbai,Juhu,1,728,25467624,34983,2023
202,Mumbai,Juhu,1,413,14136990,34230,2023
203,Mumbai,Juhu,1,533,21828482,40954,2023
204,Mumbai,Juhu,3,1332,47557728,35704,2023
205,Mumbai,Juhu,1,759,26408646,34794,2023
206,Mumbai,Andheri West,4,1916,39362304,20544,2023
207,Mumbai,Andheri West,4,3008,71545280,23785,2023
208,Mumbai,Andheri West,1,756,15395940,20365,2023
209,Mumbai,Andheri West,2,1536,38427648,25018,2023
210,Mumbai,Andheri West,2,848,20058592,23654,2023
211,Mumbai,Andheri West,2,1386,31270932,22562,2023
212,Mumbai,Andheri West,2,1216,24966912,20532,2023
213,Mumbai,Andheri West,1,673,15548319,23103,2023
214,Mumbai,Andheri West,1,530,11228050,21185,2023
215,Mumbai,Andheri West,2,1114,25941718,23287,2023
216,Mumbai,Andheri West,4,2036,41345052,20307,2023
217,Mumbai,Andheri West,4,2052,42176808,20554,2023
218,Mumbai,Andheri West,2,1276,27885704,21854,2023
219,Mumbai,Andheri West,3,1665,39522105,23737,2023
220,Mumbai,Andheri West,3,1347,29770047,22101,2023
221,Mumbai,Andheri West,2,994,24052812,24198,2023
222,Mumbai,Andheri West,3,1497,29342697,19601,2023
223,Mumbai,Andheri West,2,1268,26059936,20552,2023
224,Mumbai,Andheri West,1,624,11850384,18991,2023
225,Mumbai,Andheri West,4,2992,65707312,21961,2023
226,Mumbai,Andheri West,2,860,16991020,19757,2023
227,Mumbai,Andheri West,2,1056,21871872,20712,2023
228,Mumbai,Andheri West,1,739,14573819,19721,2023
229,Mumbai,Andheri West,2,1344,30452352,22658,2023
230,Mumbai,Andheri West,1,410,8944150,21815,2023
231,Mumbai,Andheri West,1,626,11721224,18724,2023
232,Mumbai,Andheri West,2,1358,28482692,20974,2023
233,Mumbai,Andheri West,1,710,14269580,20098,2023
234,Mumbai,Andheri West,3,1422,34797762,24471,2023
235,Mumbai,Andheri West,2,1530,34936020,22834,2023
236,Mumbai,Andheri West,1,673,12916216,19192,2023
237,Mumbai,Andheri West,1,411,8016555,19505,2023
238,Mumbai,Andheri West,1,771,15560322,20182,2023
239,Mumbai,Andheri West,1,660,15929100,24135,2023
240,Mumbai,Andheri West,3,2238,46946526,20977,2023
241,Mumbai,Andheri West,3,1407,33661068,23924,2023
242,Mumbai,Andheri West,1,536,12290480,22930,2023
243,Mumbai,Andheri West,3,1275,29863050,23422,2023
244,Mumbai,Andheri West,1,483,9857547,20409,2023
245,Mumbai,Andheri West,3,2154,42948606,19939,2023
246,Mumbai,Andheri West,1,638,14709728,23056,2023
247,Mumbai,Andheri West,4,2468,61820932,25049,2023
248,Mumbai,Andheri West,3,2181,48274254,22134,2023
249,Mumbai,Andheri West,3,2046,51565338,25203,2023
250,Mumbai,Andheri West,2,1314,27360108,20822,2023
251,Mumbai,Andheri West,1,655,15150150,23130,2023
252,Mumbai,Andheri West,3,2322,56224908,24214,2023
253,Mumbai,Andheri West,2,1194,26897238,22527,2023
254,Mumbai,Andheri West,4,2960,61529520,20787,2023
255,Mumbai,Andheri West,4,2892,72866832,25196,2023
256,Mumbai,Andheri West,2,1068,24754104,23178,2023
257,Mumbai,Andheri West,2,1022,22430856,21948,2023
258,Mumbai,Andheri West,1,649,13651715,21035,2023
259,Mumbai,Andheri West,2,1298,29702134,22883,2023
260,Mumbai,Andheri West,4,1756,39200944,22324,2023
261,Mumbai,Andheri West,3,2358,56622654,24013,2023
262,Mumbai,Andheri West,3,2163,49236369,22763,2023
263,Mumbai,Andheri West,4,2776,65130512,23462,2023
264,Mumbai,Andheri West,1,488,10876544,22288,2023
265,Mumbai,Andheri West,1,636,13673364,21499,2023
266,Mumbai,Andheri West,4,3168,63955584,20188,2023
267,Mumbai,Andheri West,1,492,11190540,22745,2023
268,Mumbai,Andheri West,3,1524,36510468,23957,2023
269,Mumbai,Andheri West,2,1306,29490786,22581,2023
270,Mumbai,Andheri West,1,535,12321050,23030,2023
271,Mumbai,Andheri West,1,715,17217915,24081,2023
272,Mumbai,Andheri West,4,2992,56237632,18796,2023
273,Mumbai,Andheri West,1,446,9504706,21311,2023
274,Mumbai,Andheri West,3,2277,53334171,23423,2023
275,Mumbai,Andheri West,1,778,15287700,19650,2023
276,Mumbai,Andheri West,4,1824,39775968,21807,2023
277,Mumbai,Andheri West,4,2592,60264000,23250,2023
278,Mumbai,Andheri West,2,1378,32642064,23688,2023
279,Mumbai,Andheri West,4,1968,46094496,23422,2023
280,Mumbai,Andheri West,3,1596,30837912,19322,2023
281,Mumbai,Andheri West,4,3024,75094992,24833,2023
282,Mumbai,Andheri West,2,818,15594352,19064,2023
283,Mumbai,Andheri West,2,1384,34673352,25053,2023
284,Mumbai,Andheri West,2,1432,30776544,21492,2023
285,Mumbai,Andheri West,4,3076,62464332,20307,2023
286,Mumbai,Andheri West,1,533,12533495,23515,2023
287,Mumbai,Andheri West,4,2356,57422788,24373,2023
288,Mumbai,Andheri West,2,1454,34411818,23667,2023
289,Mumbai,Andheri West,4,2568,54952632,21399,2023
290,Mumbai,Andheri West,4,1800,44335800,24631,2023
291,Mumbai,Andheri West,4,2912,61102496,20983,2023
292,Mumbai,Andheri West,4,2800,68026000,24295,2023
293,Mumbai,Andheri West,3,1395,31564665,22627,2023
294,Mumbai,Andheri West,3,1545,35369685,22893,2023
295,Mumbai,Andheri West,2,962,22699352,23596,2023
296,Mumbai,Andheri West,1,557,12248430,21990,2023
297,Mumbai,Powai,4,2276,40239680,17680,2023
298,Mumbai,Powai,1,583,10685807,18329,2023
299,Mumbai,Powai,1,559,11330371,20269,2023
300,Mumbai,Powai,4,2284,39912900,17475,2023
301,Mumbai,Powai,1,668,12583784,18838,2023
302,Mumbai,Powai,4,1932,34041840,17620,2023
303,Mumbai,Powai,2,1536,26525184,17269,2023
304,Mumbai,Powai,4,2984,58522208,19612,2023
305,Mumbai,Powai,3,1437,30587982,21286,2023
306,Mumbai,Powai,3,1320,28679640,21727,2023
307,Mumbai,Powai,2,1018,18967376,18632,2023
308,Mumbai,Powai,2,1046,19775676,18906,2023
309,Mumbai,Powai,4,2732,53776688,19684,2023
310,Mumbai,Powai,1,608,10706880,17610,2023
311,Mumbai,Powai,2,1452,31716036,21843,2023
312,Mumbai,Powai,4,2120,36048480,17004,2023
313,Mumbai,Powai,1,635,11296650,17790,2023
314,Mumbai,Powai,3,1287,23518638,18274,2023
315,Mumbai,Powai,2,1340,28854220,21533,2023
316,Mumbai,Powai,3,2232,45110952,20211,2023
317,Mumbai,Powai,1,741,15608424,21064,2023
318,Mumbai,Powai,2,1088,22289856,20487,2023
319,Mumbai,Powai,2,1270,24504650,19295,2023
320,Mumbai,Powai,4,3084,57115680,18520,2023
321,Mumbai,Powai,1,690,14881920,21568,2023
322,Mumbai,Powai,2,910,15791230,17353,2023
323,Mumbai,Powai,4,2716,44860172,16517,2023
324,Mumbai,Powai,4,1648,29373952,17824,2023
325,Mumbai,Powai,2,1086,17584512,16192,2023
326,Mumbai,Powai,1,517,10988318,21254,2023
327,Mumbai,Powai,1,594,12790008,21532,2023
328,Mumbai,Powai,2,1186,20019680,16880,2023
329,Mumbai,Powai,3,1833,39405834,21498,2023
330,Mumbai,Powai,1,784,14994000,19125,2023
331,Mumbai,Powai,4,2936,51277240,17465,2023
332,Mumbai,Powai,2,970,18340760,18908,2023
333,Mumbai,Powai,1,484,8085704,16706,2023
334,Mumbai,Powai,2,1240,26720760,21549,2023
335,Mumbai,Powai,4,2044,43402296,21234,2023
336,Mumbai,Powai,1,519,8881647,17113,2023
337,Mumbai,Powai,2,1410,27352590,19399,2023
338,Mumbai,Powai,2,1486,30520954,20539,2023
339,Mumbai,Powai,3,1566,33172578,21183,2023
340,Mumbai,Powai,4,2348,45579376,19412,2023
341,Mumbai,Powai,1,531,11422341,21511,2023
342,Mumbai,Powai,4,1944,35913456,18474,2023
343,Mumbai,Powai,2,1214,19839188,16342,2023
344,Mumbai,Powai,3,1902,33412434,17567,2023
345,Mumbai,Powai,2,1300,27846000,21420,2023
346,Mumbai,Powai,1,616,10311840,16740,2023
347,Mumbai,Powai,2,1120,21583520,19271,2023
348,Mumbai,Powai,4,3104,53925792,17373,2023
349,Mumbai,Powai,1,536,9718216,18131,2023
350,Mumbai,Powai,1,742,13226892,17826,2023
351,Mumbai,Powai,4,3048,50983896,16727,2023
352,Mumbai,Powai,4,2568,51681000,20125,2023
353,Mumbai,Powai,3,1818,39501504,21728,2023
354,Mumbai,Powai,1,568,12003544,21133,2023
355,Mumbai,Powai,2,1230,26676240,21688,2023
356,Mumbai,Powai,4,1880,40075960,21317,2023
357,Mumbai,Powai,2,1572,33513468,21319,2023
358,Mumbai,Powai,1,664,11409512,17183,2023
359,Mumbai,Powai,3,1452,26770524,18437,2023
360,Mumbai,Powai,4,2288,43458272,18994,2023
361,Mumbai,Powai,4,2712,49089912,18101,2023
362,Mumbai,Powai,4,2152,44075112,20481,2023
363,Mumbai,Powai,3,2274,46335024,20376,2023
364,Mumbai,Powai,3,2310,39080580,16918,2023
365,Mumbai,Powai,1,664,12372976,18634,2023
366,Mumbai,Powai,2,1598,34558348,21626,2023
367,Mumbai,Powai,4,2840,47868200,16855,2023
368,Mumbai,Powai,1,442,7517094,17007,2023
369,Mumbai,Powai,1,727,11955515,16445,2023
370,Mumbai,Powai,1,566,11484140,20290,2023
371,Mumbai,Powai,3,2190,45497250,20775,2023
372,Mumbai,Powai,1,430,8717390,20273,2023
373,Mumbai,Powai,3,1479,27679485,18715,2023
374,Mumbai,Powai,2,970,18017750,18575,2023
375,Mumbai,Powai,4,2680,51651640,19273,2023
376,Mumbai,Powai,3,2352,38036544,16172,2023
377,Mumbai,Powai,4,2068,34332936,16602,2023
378,Mumbai,Navi Mumbai,1,626,5251514,8389,2023
379,Mumbai,Navi Mumbai,3,2106,17578782,8347,2023
380,Mumbai,Navi Mumbai,3,1773,19820367,11179,2023
381,Mumbai,Navi Mumbai,1,427,3714473,8699,2023
382,Mumbai,Navi Mumbai,2,908,8003112,8814,2023
383,Mumbai,Navi Mumbai,3,2355,20250645,8599,2023
384,Mumbai,Navi Mumbai,1,774,8461368,10932,2023
385,Mumbai,Navi Mumbai,3,1764,14870520,8430,2023
386,Mumbai,Navi Mumbai,1,405,3745845,9249,2023
387,Mumbai,Navi Mumbai,3,2094,21890676,10454,2023
388,Mumbai,Navi Mumbai,3,1773,16703433,9421,2023
389,Mumbai,Navi Mumbai,3,1890,20047230,10607,2023
390,Mumbai,Navi Mumbai,1,563,6336565,11255,2023
391,Mumbai,Navi Mumbai,3,1926,16178400,8400,2023
392,Mumbai,Navi Mumbai,4,2324,21018256,9044,2023
393,Mumbai,Navi Mumbai,3,1965,18527985,9429,2023
394,Mumbai,Navi Mumbai,1,696,7302432,10492,2023
395,Mumbai,Navi Mumbai,3,1212,10835280,8940,2023
396,Mumbai,Navi Mumbai,3,1785,18082050,10130,2023
397,Mumbai,Navi Mumbai,1,572,5743452,10041,2023
398,Mumbai,Navi Mumbai,1,432,4222800,9775,2023
399,Mumbai,Navi Mumbai,1,770,8621690,11197,2023
400,Mumbai,Navi Mumbai,2,1288,14066248,10921,2023
401,Mumbai,Navi Mumbai,3,2265,21243435,9379,2023
402,Mumbai,Navi Mumbai,2,1282,11411082,8901,2023
403,Mumbai,Navi Mumbai,2,1314,12807558,9747,2023
404,Mumbai,Navi Mumbai,1,535,5513175,10305,2023
405,Mumbai,Navi Mumbai,4,2440,27288960,11184,2023
406,Mumbai,Navi Mumbai,2,1574,14010174,8901,2023
407,Mumbai,Navi Mumbai,3,2379,22058088,9272,2023
408,Mumbai,Navi Mumbai,1,538,5768974,10723,2023
409,Mumbai,Navi Mumbai,1,690,7038000,10200,2023
410,Mumbai,Navi Mumbai,3,1725,15038550,8718,2023
411,Mumbai,Navi Mumbai,4,1764,15473808,8772,2023
412,Mumbai,Navi Mumbai,4,2280,23381400,10255,2023
413,Mumbai,Navi Mumbai,4,3080,32460120,10539,2023
414,Mumbai,Navi Mumbai,4,2108,21830448,10356,2023
415,Mumbai,Navi Mumbai,3,1368,13982328,10221,2023
416,Mumbai,Navi Mumbai,2,1070,11794610,11023,2023
417,Mumbai,Navi Mumbai,1,672,5951904,8857,2023
418,Mumbai,Navi Mumbai,1,749,7734174,10326,2023
419,Mumbai,Navi Mumbai,3,1812,18228720,10060,2023
420,Mumbai,Navi Mumbai,1,704,7779904,11051,2023
421,Mumbai,Navi Mumbai,1,772,8037292,10411,2023
422,Mumbai,Navi Mumbai,4,2952,28950264,9807,2023
423,Mumbai,Navi Mumbai,4,1984,16635840,8385,2023
424,Mumbai,Navi Mumbai,2,1108,11575276,10447,2023
425,Mumbai,Navi Mumbai,3,1416,13061184,9224,2023
426,Mumbai,Navi Mumbai,4,1732,17517448,10114,2023
427,Mumbai,Navi Mumbai,3,1731,17380971,10041,2023
428,Mumbai,Navi Mumbai,3,2037,18078375,8875,2023
429,Mumbai,Navi Mumbai,1,437,4234530,9690,2023
430,Mumbai,Navi Mumbai,4,2336,22589120,9670,2023
431,Mumbai,Navi Mumbai,1,561,5225715,9315,2023
432,Mumbai,Navi Mumbai,3,1689,15692499,9291,2023
433,Mumbai,Navi Mumbai,3,2343,25669908,10956,2023
434,Mumbai,Navi Mumbai,3,1902,21106494,11097,2023
435,Mumbai,Navi Mumbai,1,730,6985370,9569,2023
436,Mumbai,Navi Mumbai,3,1338,12070098,9021,2023
437,Mumbai,Navi Mumbai,3,1950,16976700,8706,2023
438,Mumbai,Navi Mumbai,4,2448,27150768,11091,2023
439,Mumbai,Navi Mumbai,4,2808,27773928,9891,2023
440,Mumbai,Navi Mumbai,4,2684,23087768,8602,2023
441,Mumbai,Navi Mumbai,2,1020,10954800,10740,2023
442,Mumbai,Navi Mumbai,4,3116,27554788,8843,2023
443,Mumbai,Navi Mumbai,3,1749,18338265,10485,2023
444,Mumbai,Navi Mumbai,4,2020,22076580,10929,2023
445,Mumbai,Navi Mumbai,1,533,6001580,11260,2023
446,Mumbai,Navi Mumbai,1,530,4687320,8844,2023
447,Mumbai,Navi Mumbai,2,1370,12258760,8948,2023
448,Mumbai,Navi Mumbai,1,729,7276878,9982,2023
449,Mumbai,Navi Mumbai,4,2220,19840140,8937,2023
450,Mumbai,Navi Mumbai,2,1462,15570300,10650,2023
451,Mumbai,Navi Mumbai,2,1054,10678074,10131,2023
452,Mumbai,Navi Mumbai,2,1500,12499500,8333,2023
453,Mumbai,Navi Mumbai,2,1544,15541904,10066,2023
454,Mumbai,Navi Mumbai,2,1338,14778210,11045,2023
455,Mumbai,Navi Mumbai,3,1473,16593345,11265,2023
456,Mumbai,Navi Mumbai,1,407,4029707,9901,2023
457,Mumbai,Navi Mumbai,2,1150,10148750,8825,2023
458,Mumbai,Navi Mumbai,3,1383,11881353,8591,2023
459,Mumbai,Navi Mumbai,4,2716,27423452,10097,2023
460,Mumbai,Navi Mumbai,1,665,7079590,10646,2023
461,Mumbai,Navi Mumbai,1,514,5534752,10768,2023
462,Mumbai,Navi Mumbai,3,1344,14042112,10448,2023
463,Mumbai,Navi Mumbai,3,1305,11071620,8484,2023
464,Mumbai,Navi Mumbai,3,1608,14287080,8885,2023
465,Mumbai,Navi Mumbai,4,2656,26294400,9900,2023
466,Mumbai,Navi Mumbai,3,1533,17063823,11131,2023
467,Mumbai,Navi Mumbai,3,2133,23964255,11235,2023
468,Bangalore,Indiranagar,2,1580,22584520,14294,2023
469,Bangalore,Indiranagar,1,735,10252515,13949,2023
470,Bangalore,Indiranagar,1,424,6265448,14777,2023
471,Bangalore,Indiranagar,3,1938,33889806,17487,2023
472,Bangalore,Indiranagar,1,757,12721385,16805,2023
473,Bangalore,Indiranagar,4,3116,52573152,16872,2023
474,Bangalore,Indiranagar,1,466,7606984,16324,2023
475,Bangalore,Indiranagar,4,2724,36929268,13557,2023
476,Bangalore,Indiranagar,3,2328,36624096,15732,2023
477,Bangalore,Indiranagar,1,560,9817360,17531,2023
478,Bangalore,Indiranagar,3,1875,31218750,16650,2023
479,Bangalore,Indiranagar,3,1743,28703724,16468,2023
480,Bangalore,Indiranagar,4,1968,27329616,13887,2023
481,Bangalore,Indiranagar,3,1527,24490026,16038,2023
482,Bangalore,Indiranagar,1,505,8114845,16069,2023
483,Bangalore,Indiranagar,4,3088,53113600,17200,2023
484,Bangalore,Indiranagar,4,2456,33988584,13839,2023
485,Bangalore,Indiranagar,4,3032,42830032,14126,2023
486,Bangalore,Indiranagar,4,1616,25443920,15745,2023
487,Bangalore,Indiranagar,1,708,10307064,14558,2023
